           TIME                          IP                   METHOD                PATH


Fri, 04 Jul 2025 12:48:21 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:48:21 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:48:23 GMT : 	::1 :	GET : 	/complaint 
Fri, 04 Jul 2025 12:48:23 GMT : 	::1 :	GET : 	/css/complaint.css 
Fri, 04 Jul 2025 12:48:23 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:48:23 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:48:23 GMT : 	::1 :	GET : 	/js/complaint.js 
Fri, 04 Jul 2025 12:48:23 GMT : 	::1 :	GET : 	/animations/complaint.json 
Fri, 04 Jul 2025 12:48:23 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:48:23 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:48:23 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:48:27 GMT : 	::1 :	GET : 	/404 
Fri, 04 Jul 2025 12:48:27 GMT : 	::1 :	GET : 	/css/about.css 
Fri, 04 Jul 2025 12:48:27 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:48:27 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:48:27 GMT : 	::1 :	GET : 	/js/about.js 
Fri, 04 Jul 2025 12:48:27 GMT : 	::1 :	GET : 	/animations/404NotFound.json 
Fri, 04 Jul 2025 12:48:27 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:48:27 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:48:27 GMT : 	::1 :	GET : 	/api/user 
